account_id;reputation;creation_date;presence;presence_factor;activity;activity_factor;frequency_factor;creation_date_int;regularity_factor
9;163764;2008-08-01 08:18:04;285079316.0;0.9995417972721854;105;0.000805591572744919;0.031822722627831763;1217578684;0.020309184601394362
55;107967;2008-08-01 18:49:18;285041442.0;0.9994090038918692;202;0.001549804739947368;0.06122899139697729;1217616558;0.026371627765989693
75;104002;2008-08-01 21:55:22;285030278.0;0.9993698608043196;205;0.0015728216420257946;0.06214076667321637;1217627722;0.03214069132807762
36;58989;2008-08-01 17:04:45;285047715.0;0.999430998211844;272;0.0020868657884439805;0.08244514431557537;1217610285;0.04274022431039709
63;48707;2008-08-01 20:02:03;285037077.0;0.9993936993794048;318;0.0024397916203131834;0.09639167047731127;1217620923;0.044255835101545925
49;47906;2008-08-01 18:04:09;285044151.0;0.999418502156306;718;0.005508711897436684;0.2176336535317997;1217613849;0.05244013337374962
1;41516;2008-07-31 18:22:31;285129449.0;0.999717573016374;1895;0.014539009812872587;0.5742233942310182;1217528551;0.16090909090909092
34;1762;2008-08-01 17:02:27;285047853.0;0.9994314820658462;60;0.0004603380415685252;0.018186420088559658;1217610147;0.004546832373446499
20;1246;2008-08-01 16:21:40;285050300.0;0.9994400617089162;302;0.0023170348092282434;0.0915375286396822;1217607700;0.03485904819642316
72;1180;2008-08-01 20:59:16;285033644.0;0.9993816626345501;483;0.003705721234626628;0.14640797982430453;1217624356;0.05122764474083055
13;1097;2008-08-01 16:05:14;285051286.0;0.9994435188107008;4605;0.035330944690384315;1.3957909314606636;1217606714;0.31979387693240374
124;2894;2008-08-02 21:25:04;284945696.0;0.9990733003751622;6;4.603380415685252e-05;0.0018192940173414657;1217712304;0.0006066120715802245
140;2790;2008-08-03 03:47:08;284922772.0;0.9989929245117632;37;0.00028387512563392384;0.011219882417822328;1217735228;0.006672732787382469
106;2681;2008-08-02 12:58:50;284976070.0;0.9991797973423092;768;0.005892326932077122;0.23284481395227324;1217681930;0.0861127956337174
139;2662;2008-08-03 03:13:02;284924818.0;0.9990000981732758;144;0.0011048112997644602;0.04366625584718282;1217733182;0.021231422505307854
85;2564;2008-08-02 02:31:22;285013718.0;0.999311798324042;360;0.002762028249411151;0.10913158923810116;1217644282;0.05154639175257732
112;2297;2008-08-02 15:34:21;284966739.0;0.9991470810981382;1049;0.008048243426756382;0.3180497496586786;1217691261;0.16585809581564584
109;2210;2008-08-02 14:11:35;284971705.0;0.9991644928298448;95;0.0007288685658168316;0.02880285956811045;1217686295;0.010309278350515464
143;2161;2008-08-03 05:39:56;284916004.0;0.9989691946285192;258;0.0019794535787446576;0.07823779530475235;1217741996;0.021534728541097968
123;2058;2008-08-02 20:20:32;284949568.0;0.9990868763367344;492;0.0037747719408619054;0.14918008228038446;1217708432;0.04093389933292905
133;1919;2008-08-03 00:09:15;284935845.0;0.9990387609130116;2388;0.0183214540544273;0.7241040522648177;1217722155;0.33424325144070366
147;1916;2008-08-03 07:43:40;284908580.0;0.9989431646856702;128;0.0009820544886795202;0.038816661821837725;1217749420;0.02032150439793752
92;1796;2008-08-02 07:35:55;284995445.0;0.9992477297429964;309;0.002370740914077905;0.0936772866668097;1217662555;0.027895694360218316
87;1756;2008-08-02 03:29:32;285010228.0;0.9992995617264472;25;0.00019180751732021884;0.00757867538704611;1217647772;0.005154639175257732
148;1752;2008-08-03 09:09:40;284903420.0;0.9989250727534098;138;0.0010587774956076078;0.0418499714745439;1217754580;0.022141340612678192
136;1426;2008-08-03 01:28:38;284931082.0;0.9990220609375547;540;0.004143042374116728;0.16374485953764778;1217726918;0.07885956930542917
150;1416;2008-08-03 10:30:23;284898577.0;0.9989080922828792;104;0.0007979192720521102;0.0315396450716565;1217759423;0.016985138004246284
144;1338;2008-08-03 06:15:39;284913861.0;0.9989616808667298;255;0.001956436676666232;0.07732863512737276;1217744139;0.029723991507430998
86;1325;2008-08-02 03:16:18;285011022.0;0.9993023456400548;409;0.00313797098335878;0.12398678392164075;1217646978;0.04487568223165555
94;1316;2008-08-02 09:39:54;284988006.0;0.9992216472073208;2;1.5344601385617504e-05;0.0006063413068688933;1217669994;0.0006064281382656155
137;1086;2008-08-03 01:53:24;284929596.0;0.9990168507415588;258;0.0019794535787446576;0.07823406312624681;1217728404;0.03548680618744313
101;945;2008-08-02 10:23:02;284985418.0;0.9992125731916832;323;0.002478153123777227;0.09792501032456334;1217672582;0.045178896300788356
153;941;2008-08-03 13:47:03;284886777.0;0.9988667192594929;6;4.603380415685252e-05;0.001819670275535463;1217771223;0.001516530178950561
146;933;2008-08-03 06:38:27;284912493.0;0.9989568844009676;265;0.0020331596835943197;0.08036151647446363;1217745507;0.02456778889899909
95;699;2008-08-02 09:40:36;284987964.0;0.9992214999474072;2485;0.01906566722162975;0.7533791848135734;1217670036;0.25712553062462096
142;621;2008-08-03 05:04:00;284918160.0;0.9989767539707584;133;0.0010204159921435641;0.04033158153204415;1217739840;0.01668183196845617
145;605;2008-08-03 06:21:57;284913483.0;0.998960355527506;117;0.000897659181058624;0.03548024436597127;1217744517;0.016985138004246284
108;436;2008-08-02 13:12:56;284975224.0;0.9991768311069036;125;0.0009590375866010939;0.03789803144430549;1217682776;0.022437841115827774
113;425;2008-08-02 15:49:27;284965833.0;0.9991439044914272;64;0.0004910272443397601;0.01940443154811475;1217692167;0.013947847180109158
131;366;2008-08-02 22:35:58;284941442.0;0.9990583850496124;165;0.001265929614313444;0.05003133240267662;1217716558;0.01880497421898696
159;358;2008-08-03 15:27:05;284880775.0;0.9988456751165808;141;0.001081794397686034;0.04276315240998625;1217777225;0.01637852593266606
100;129;2008-08-02 10:16:23;284985817.0;0.999213972160864;103;0.0007902469713593015;0.0312268171577114;1217672183;0.01607034566403881
190;76965;2008-08-04 00:25:38;284848462.0;0.9987323796500824;57;0.0004373211394900989;0.017289192876175682;1217809538;0.012742718446601941
210;39958;2008-08-04 13:58:18;284799702.0;0.998561417902598;970;0.007442131672024491;0.2942699708302363;1217858298;0.09010922330097088
189;32349;2008-08-04 00:19:32;284848828.0;0.9987336629150452;60;0.0004603380415685252;0.0181991270120304;1217809172;0.011225728155339806
203;28050;2008-08-04 09:46:02;284814838.0;0.998614487570562;130;0.0009973990900651378;0.0394361476349768;1217843162;0.02063106796116505
194;26066;2008-08-04 01:42:37;284843843.0;0.9987161845657586;902;0.006920415224913495;0.2735983308580765;1217814157;0.08555825242718447
171;24938;2008-08-03 17:52:08;284872072.0;0.9988151607587392;80;0.0006137840554247003;0.024263522750661216;1217785928;0.011525629360024265
214;24713;2008-08-04 14:11:11;284798929.0;0.9985587076189476;486;0.003728738136705053;0.1474387566956054;1217859071;0.0524878640776699
212;23262;2008-08-04 14:02:44;284799436.0;0.9985604852564776;400;0.0030689202771235014;0.12134855491778432;1217858564;0.026092233009708737
173;23064;2008-08-03 18:46:59;284868781.0;0.9988036218926404;11;8.439530762089628e-05;0.0033362729206890523;1217789219;0.0018198362147406734
232;21116;2008-08-04 16:43:38;284789782.0;0.9985266365134462;642;0.004925617044783219;0.1947710329017352;1217868218;0.06523058252427184
183;20115;2008-08-03 21:19:42;284859618.0;0.9987714946881244;50;0.0003836150346404377;0.015165364716595247;1217798382;0.009405339805825242
216;19668;2008-08-04 14:21:45;284798295.0;0.9985564846954876;164;0.0012582573136206356;0.049753106843564494;1217859705;0.011529126213592233
191;19394;2008-08-04 00:30:43;284848157.0;0.9987313102626136;382;0.0029308188646529434;0.11586804825281;1217809843;0.05157766990291262
197;17433;2008-08-04 04:23:06;284834214.0;0.9986824234774376;125;0.0009590375866010939;0.03791679324029521;1217823786;0.014259708737864078
170;17033;2008-08-03 17:51:13;284872127.0;0.9988153535991025;64;0.0004910272443397601;0.01941081445290013;1217785873;0.00940248710949348
206;16750;2008-08-04 12:10:58;284806142.0;0.9985839977560396;127;0.0009743821879867117;0.03852725900833979;1217851858;0.021237864077669904
196;15034;2008-08-04 03:49:51;284836209.0;0.9986894183233408;20;0.00015344601385617506;0.006066644427218873;1217821791;0.0027305825242718447
186;14882;2008-08-03 23:32:46;284851634.0;0.9987435012797587;162;0.001242912712235018;0.049137158890231264;1217806366;0.025182038834951456
198;14393;2008-08-04 04:38:47;284833273.0;0.998679124154132;156;0.0011968789080781654;0.04732031429488225;1217824727;0.02821601941747573
237;14305;2008-08-04 17:14:31;284787929.0;0.9985201395462991;15;0.0001150845103921313;0.004550754677527079;1217870071;0.003944174757281553
179;12396;2008-08-03 20:25:07;284862893.0;0.9987829774552084;158;0.001212223509463783;0.047922001550409016;1217795107;0.01880497421898696
184;10132;2008-08-03 21:53:19;284857601.0;0.9987644227060762;478;0.0036673597311625843;0.14498191326128596;1217800399;0.04217233009708738
172;9838;2008-08-03 17:54:19;284871941.0;0.9988147014480558;57;0.0004373211394900989;0.017287767909721932;1217786059;0.006066120715802244
166;8674;2008-08-03 17:26:47;284873593.0;0.99882049367133;77;0.0005907671533462738;0.02335351595751453;1217784407;0.010615711252653927
