user_id;timeline_type;creation_date
9;badge;2017-08-01 00:35:38
9;badge;2017-07-24 11:49:54
9;answered;2017-03-02 09:37:20
9;badge;2017-02-27 15:01:42
9;badge;2016-08-01 00:44:41
9;badge;2016-07-22 02:01:02
9;badge;2015-09-27 01:54:35
9;badge;2015-09-23 08:44:28
9;badge;2015-09-23 08:26:03
9;badge;2015-08-01 00:48:01
9;badge;2015-07-26 04:01:30
9;badge;2015-07-26 03:51:32
9;badge;2015-04-13 22:49:18
9;badge;2014-11-12 17:15:23
9;badge;2014-09-10 13:37:30
9;badge;2014-08-01 01:34:39
9;badge;2014-07-22 23:58:33
9;badge;2014-07-11 03:27:41
9;badge;2014-07-11 03:22:46
9;badge;2014-07-02 20:05:24
9;commented;2014-06-16 21:28:58
9;commented;2014-06-16 21:28:05
9;asked;2014-06-14 00:48:26
9;revision;2014-06-14 00:48:26
9;badge;2014-03-15 19:26:26
9;asked;2013-10-16 21:16:29
9;badge;2013-10-06 19:16:20
9;badge;2013-09-08 21:54:26
9;commented;2013-09-06 02:38:02
9;answered;2013-09-05 00:14:50
9;badge;2013-08-10 08:54:16
9;badge;2013-08-10 07:44:14
9;badge;2013-08-01 01:35:54
9;badge;2013-06-14 22:55:16
9;commented;2013-04-17 05:38:21
9;commented;2013-04-16 19:13:51
9;answered;2013-04-14 09:05:55
9;answered;2013-03-24 07:02:16
9;answered;2013-03-24 06:51:22
9;badge;2013-03-22 15:58:40
9;answered;2013-03-22 03:46:13
9;revision;2013-03-22 03:46:13
9;answered;2013-03-22 02:56:09
9;badge;2013-03-20 08:14:23
9;commented;2013-03-14 20:32:29
9;badge;2013-03-14 14:29:22
9;commented;2013-03-14 03:17:11
9;answered;2013-03-14 02:44:22
9;revision;2013-03-14 02:44:22
9;commented;2013-03-14 02:31:10
9;answered;2013-03-14 02:17:16
9;answered;2013-03-14 02:07:32
9;commented;2013-03-14 01:50:40
9;badge;2013-02-15 11:37:31
9;badge;2013-02-07 21:14:36
9;badge;2012-11-15 12:23:19
9;badge;2012-10-24 00:59:39
9;badge;2012-10-18 00:13:11
9;commented;2012-09-11 21:45:55
9;commented;2012-09-11 21:25:27
9;badge;2012-09-07 16:05:42
9;badge;2012-09-05 17:54:56
9;badge;2012-08-01 01:37:41
9;badge;2012-06-24 19:43:13
9;badge;2012-06-12 00:51:20
9;badge;2012-06-11 20:36:18
9;badge;2012-05-28 20:02:50
9;badge;2012-05-17 18:44:27
9;commented;2012-05-14 23:34:53
9;badge;2012-05-07 02:01:40
9;answered;2012-04-11 22:09:21
9;badge;2012-02-08 21:45:23
9;badge;2012-01-21 00:46:58
9;commented;2012-01-21 00:42:18
9;commented;2012-01-20 23:51:34
9;accepted;2012-01-20 12:36:20
9;asked;2012-01-20 01:26:45
9;badge;2012-01-12 02:12:48
9;badge;2011-12-08 23:19:45
9;answered;2011-12-06 03:56:29
9;badge;2011-12-05 18:11:51
9;badge;2011-11-18 20:52:50
9;badge;2011-09-23 21:21:59
9;badge;2011-08-21 03:27:53
9;commented;2011-08-02 04:30:02
9;badge;2011-08-01 04:01:43
9;asked;2011-06-16 20:29:22
9;badge;2011-06-04 19:16:54
9;asked;2011-06-03 22:54:40
9;badge;2011-05-24 17:56:23
9;revision;2011-05-03 01:50:47
9;badge;2011-04-13 11:46:07
9;commented;2011-03-11 08:32:49
9;asked;2011-03-11 02:25:22
9;asked;2011-03-01 00:14:53
9;commented;2011-02-19 00:14:41
9;asked;2011-02-18 21:48:41
9;badge;2011-02-16 04:51:51
9;badge;2011-02-16 04:36:50
9;answered;2011-02-16 04:13:41
9;badge;2011-01-25 09:56:53
9;asked;2011-01-14 01:16:22
9;revision;2011-01-14 01:16:22
9;answered;2010-12-23 01:26:50
9;asked;2010-12-23 00:32:21
9;badge;2010-12-21 16:49:27
9;badge;2010-12-11 04:37:28
9;badge;2010-11-07 00:57:27
9;commented;2010-10-19 01:46:58
9;asked;2010-10-19 01:18:46
9;answered;2010-10-13 00:25:44
9;accepted;2010-10-13 00:25:44
9;asked;2010-10-13 00:21:33
9;badge;2010-10-01 09:26:41
9;answered;2010-09-08 21:32:04
9;badge;2010-08-31 09:15:45
9;badge;2010-08-30 20:00:40
9;answered;2010-08-03 00:50:47
9;badge;2010-08-01 04:04:37
9;badge;2010-07-22 16:27:38
9;badge;2010-07-09 20:55:43
9;commented;2010-03-11 00:28:16
9;answered;2010-03-10 23:36:54
9;badge;2010-03-03 19:12:32
9;commented;2010-02-23 21:05:29
9;answered;2010-01-16 02:35:43
9;answered;2010-01-12 04:59:07
9;answered;2010-01-12 02:16:10
9;answered;2010-01-06 04:07:06
9;commented;2009-12-01 23:59:46
9;asked;2009-12-01 03:37:58
9;badge;2009-11-24 11:02:35
9;answered;2009-11-11 16:43:36
9;badge;2009-10-16 19:07:41
9;answered;2009-09-08 21:54:09
9;answered;2009-09-04 04:24:11
9;answered;2009-08-29 01:24:45
9;badge;2009-08-03 01:27:43
9;answered;2009-07-28 21:33:18
9;badge;2009-07-23 03:12:52
9;accepted;2009-07-13 01:26:57
9;commented;2009-07-07 02:57:40
9;asked;2009-07-07 02:33:50
9;commented;2009-05-16 02:11:52
9;asked;2009-05-14 02:33:09
9;badge;2009-04-23 22:37:31
9;answered;2009-04-08 21:50:55
9;badge;2009-03-01 06:27:32
9;answered;2009-02-19 23:51:51
9;badge;2009-02-03 00:32:35
9;badge;2009-01-23 16:47:35
9;accepted;2008-12-16 22:35:37
9;asked;2008-12-16 22:31:59
9;answered;2008-12-01 20:32:22
9;badge;2008-11-26 03:37:34
9;badge;2008-11-22 01:42:40
9;revision;2008-11-01 20:56:29
9;answered;2008-10-16 23:40:44
9;answered;2008-10-07 23:48:19
9;answered;2008-10-07 23:08:05
9;badge;2008-09-16 11:07:34
9;badge;2008-09-16 04:00:00
9;badge;2008-09-16 02:02:33
9;badge;2008-09-15 13:03:58
9;badge;2008-09-15 12:55:06
9;badge;2008-09-15 12:55:05
9;badge;2008-09-15 12:55:05
9;badge;2008-09-15 12:55:04
9;badge;2008-09-15 12:55:04
9;badge;2008-09-15 12:55:03
9;commented;2008-09-05 22:49:27
9;answered;2008-08-29 23:02:09
9;answered;2008-08-29 03:53:10
9;answered;2008-08-29 03:46:23
9;answered;2008-08-29 02:42:57
9;revision;2008-08-29 02:42:57
9;answered;2008-08-29 01:37:19
9;answered;2008-08-28 23:54:02
9;answered;2008-08-28 22:53:45
9;accepted;2008-08-28 12:03:27
9;answered;2008-08-25 08:42:46
9;answered;2008-08-23 03:05:10
9;answered;2008-08-22 09:18:12
9;answered;2008-08-21 02:15:11
9;answered;2008-08-19 09:10:41
9;asked;2008-08-16 04:08:23
9;answered;2008-08-15 04:39:05
9;answered;2008-08-07 09:42:30
9;answered;2008-08-01 21:47:54
9;accepted;2008-08-01 16:22:51
9;asked;2008-08-01 04:42:38
9;answered;2008-08-01 02:17:57
9;asked;2008-08-01 02:08:08
55;badge;2017-08-01 17:00:30
55;badge;2016-12-02 00:25:08
55;badge;2016-09-30 12:14:26
55;badge;2016-09-24 12:59:03
55;badge;2016-08-29 14:30:44
55;badge;2016-08-25 15:33:48
55;badge;2016-08-02 15:10:39
55;badge;2016-08-01 16:45:21
55;badge;2016-02-01 17:44:43
55;badge;2015-08-01 16:39:22
55;commented;2015-07-10 14:55:40
55;commented;2015-07-10 14:52:57
55;badge;2015-02-26 22:05:35
55;badge;2014-12-12 22:50:58
55;badge;2014-10-20 04:30:33
55;badge;2014-08-01 17:44:00
55;badge;2014-07-09 11:59:58
55;badge;2014-07-02 20:05:24
55;answered;2014-04-25 02:28:52
55;badge;2014-03-17 05:34:48
55;badge;2014-03-17 05:09:42
55;badge;2014-02-09 05:55:18
55;accepted;2014-01-14 08:12:47
55;asked;2014-01-14 07:55:38
55;badge;2013-11-11 21:22:20
55;badge;2013-10-07 20:27:31
55;commented;2013-08-30 00:17:14
55;commented;2013-08-29 00:17:56
55;asked;2013-08-29 00:07:04
55;answered;2013-08-06 03:49:17
55;badge;2013-08-03 09:42:39
55;badge;2013-08-01 17:42:21
55;answered;2013-04-08 07:37:28
55;badge;2013-02-15 00:07:04
55;badge;2013-01-23 19:54:28
55;badge;2012-11-28 17:50:44
55;badge;2012-11-28 17:50:44
55;badge;2012-11-26 23:14:44
55;badge;2012-08-01 17:58:07
55;badge;2012-07-22 05:33:54
55;badge;2012-06-09 03:11:52
55;badge;2012-06-08 13:05:28
55;commented;2012-03-29 21:24:13
55;commented;2012-03-27 20:25:49
55;badge;2012-03-27 07:14:32
55;answered;2012-02-29 08:06:39
55;badge;2012-02-06 05:37:58
55;badge;2012-01-07 11:45:43
55;badge;2011-08-02 04:04:08
55;badge;2011-07-07 06:49:33
55;badge;2011-07-07 06:49:32
55;badge;2011-05-18 07:03:11
55;commented;2011-05-15 05:56:17
55;commented;2011-05-03 20:01:01
55;commented;2011-05-03 17:13:47
55;answered;2011-05-03 16:41:47
55;commented;2011-05-03 10:10:05
55;answered;2011-05-03 05:46:42
55;commented;2011-01-26 02:20:31
55;badge;2011-01-18 07:56:24
55;revision;2010-12-13 21:43:07
55;badge;2010-12-11 04:37:32
55;commented;2010-12-07 05:46:55
55;revision;2010-12-01 12:16:16
55;badge;2010-11-05 09:09:26
55;badge;2010-10-08 09:31:10
55;badge;2010-10-01 09:25:25
55;badge;2010-08-02 04:04:20
55;badge;2010-04-21 17:57:33
55;badge;2010-04-05 12:47:39
55;badge;2010-02-16 15:57:32
55;answered;2010-02-15 12:59:35
55;accepted;2010-01-16 05:05:40
55;asked;2010-01-16 05:03:55
55;badge;2009-12-30 10:52:40
55;commented;2009-10-28 13:42:33
55;answered;2009-10-22 20:47:17
55;commented;2009-10-14 09:02:49
55;accepted;2009-10-14 08:48:09
55;asked;2009-10-14 08:43:29
55;revision;2009-10-14 08:43:29
55;badge;2009-10-12 15:32:34
55;commented;2009-09-26 01:41:33
55;commented;2009-09-19 01:57:58
55;answered;2009-09-19 01:56:27
55;answered;2009-08-12 22:02:19
55;commented;2009-08-12 08:59:11
55;commented;2009-08-06 14:27:05
55;commented;2009-08-06 13:29:19
55;answered;2009-08-06 12:25:30
55;revision;2009-08-06 12:11:49
55;revision;2009-08-06 11:52:53
55;answered;2009-08-06 10:56:55
55;revision;2009-08-06 10:37:15
55;revision;2009-08-05 11:32:01
55;answered;2009-08-05 10:44:52
55;revision;2009-08-04 22:56:30
55;badge;2009-08-03 01:27:43
55;answered;2009-07-30 21:56:10
55;commented;2009-07-30 21:43:16
55;commented;2009-07-30 21:20:41
55;answered;2009-07-30 21:06:25
55;revision;2009-07-30 20:22:34
55;answered;2009-07-22 07:34:37
55;answered;2009-07-22 06:58:45
55;commented;2009-07-14 14:11:29
55;commented;2009-07-14 14:08:18
55;badge;2009-06-23 00:52:33
55;badge;2009-04-21 15:42:31
55;commented;2009-04-11 11:36:32
55;revision;2009-03-23 23:17:47
55;revision;2009-03-17 10:27:06
55;answered;2009-03-17 07:27:14
55;revision;2009-03-17 07:27:14
55;commented;2009-03-17 07:12:34
55;answered;2009-03-16 07:33:11
55;revision;2009-03-15 12:20:36
55;commented;2009-03-10 08:56:28
55;commented;2009-03-08 10:17:17
55;accepted;2009-02-27 20:57:58
55;commented;2009-02-27 14:33:35
55;asked;2009-02-27 03:49:29
55;answered;2009-02-25 09:47:08
55;badge;2009-02-16 05:37:32
55;badge;2009-02-08 00:02:33
55;commented;2009-02-05 03:55:06
55;commented;2009-02-05 03:50:12
55;accepted;2009-02-04 10:03:27
55;asked;2009-02-04 09:29:01
55;revision;2009-02-04 09:29:01
55;badge;2009-01-28 13:42:35
55;badge;2009-01-25 12:37:35
55;commented;2009-01-19 16:07:15
55;answered;2008-12-31 06:42:08
55;commented;2008-12-22 01:09:37
55;answered;2008-12-22 01:05:29
55;revision;2008-12-22 01:05:29
55;commented;2008-12-21 16:10:38
55;answered;2008-12-19 12:46:41
55;commented;2008-12-19 12:38:26
55;commented;2008-12-19 12:29:05
55;revision;2008-12-19 12:00:37
55;revision;2008-12-13 11:08:49
55;badge;2008-12-12 05:52:46
55;answered;2008-12-09 14:30:57
